pauli,coefficient
III,0.6565442578062507
ZZI,0.2185605334455284
IZI,-0.21794867189177353
IIX,-0.18715086368410483
ZII,-0.15694653685644744
ZIX,-0.0627266271219136
IXX,-0.062472966881248544
IYY,-0.062472966881248544
ZXX,-0.062472966881248544
ZYY,-0.062472966881248544
IZX,-0.062361210075030094
XXX,-0.062308347446546425
XYY,0.062308347446546425
YXY,-0.062308347446546425
YYX,-0.062308347446546425
ZZX,0.06206302648716114
IIZ,0.030383168092326884
ZZZ,-0.03024460588110705
IZZ,0.030214705614475368
ZIZ,-0.030076143403255533
