theta_deg,mac_a,mac_b,eps_sub
0,1.0,1.0,2.5809568279517847e-08
5,0.9924038765061038,0.9924038765061037,2.5809568279517847e-08
10,0.9698463103929541,0.9698463103929541,3.332000937312528e-08
15,0.9330127018922196,0.9330127018922194,2.9802322387695312e-08
20,0.8830222215594888,0.8830222215594891,2.9802322387695312e-08
25,0.82139380484327,0.8213938048432697,3.650024149988857e-08
30,0.7500000000000003,0.7500000000000001,2.9802322387695312e-08
35,0.6710100716628346,0.6710100716628341,2.5809568279517847e-08
40,0.5868240888334653,0.586824088833465,2.9802322387695312e-08
45,0.5000000000000002,0.4999999999999996,2.9802322387695312e-08
50,0.4131759111665352,0.41317591116653446,2.5809568279517847e-08
55,0.32898992833716584,0.3289899283371654,2.9802322387695312e-08
60,0.2500000000000004,0.24999999999999983,3.332000937312528e-08
65,0.17860619515673057,0.1786061951567301,2.9802322387695312e-08
70,0.1169777784405112,0.11697777844051085,2.9802322387695312e-08
75,0.06698729810778078,0.06698729810778052,3.650024149988857e-08
80,0.03015368960704591,0.030153689607045748,2.9802322387695312e-08
85,0.0075961234938960115,0.007596123493895918,3.332000937312528e-08
90,1.0635948117878512e-31,3.7748226909989834e-32,3.332000937312528e-08
