dimension,shape,mass_type,dof,qubits,gershgorin_ratio,nnz_A,density_A,pauli_terms,qwc_groups
2D,"(4, 4)",lumped,16,4,1.079160872519888,64,0.25,48,9.0
2D,"(4, 4)",consistent,16,4,1.136599220246499,256,1.0,136,42.0
2D,"(8, 8)",lumped,64,6,1.063992092704875,288,0.0703125,256,21.0
2D,"(8, 8)",consistent,64,6,1.1075109590983319,4096,1.0,2079,377.0
2D,"(16, 16)",lumped,256,8,1.051414855174141,1216,0.0185546875,1280,
2D,"(16, 16)",consistent,256,8,1.0927236460853158,62032,0.946533203125,25082,
2D,"(32, 32)",lumped,1024,10,1.0407781967614251,4992,0.0047607421875,6144,
2D,"(32, 32)",consistent,1024,10,1.0769670690082893,454420,0.4333686828613281,147620,
3D,"(4, 4, 4)",lumped,64,6,1.06961696265044,352,0.0859375,256,15.0
3D,"(4, 4, 4)",consistent,64,6,1.1296583101296604,4096,1.0,2080,399.0
3D,"(4, 4, 8)",lumped,128,7,1.0589067238505605,736,0.044921875,576,
3D,"(4, 4, 8)",consistent,128,7,1.134941425399859,16384,1.0,8251,
3D,"(8, 8, 16)",lumped,1024,10,1.0408211056236834,6528,0.0062255859375,6144,
3D,"(8, 8, 16)",consistent,1024,10,1.0978548079726698,952156,0.9080467224121094,312325,
