dimension,shape,mass_type,dof,qubits,ordering,bandwidth_K,nnz_L,density_A,pauli_terms,pauli_bound_lumped,pauli_bound_realsym,pauli_ratio_to_natural
2D,"(16, 16)",lumped,256,8,natural,16,256,0.0185546875,1280,1280,32896,1.0
2D,"(16, 16)",lumped,256,8,rcm,16,256,0.0185546875,7168,1280,32896,5.6
2D,"(16, 16)",lumped,256,8,random,242,256,0.0185546875,28288,1280,32896,22.1
2D,"(16, 16)",consistent,256,8,natural,16,3967,0.946533203125,25082,1280,32896,1.0
2D,"(16, 16)",consistent,256,8,rcm,16,2845,0.94757080078125,32859,1280,32896,1.310062993381708
2D,"(16, 16)",consistent,256,8,random,242,5094,0.539459228515625,32896,1280,32896,1.3115381548520852
3D,"(8, 8, 8)",lumped,512,9,natural,64,512,0.01220703125,2816,2816,131328,1.0
3D,"(8, 8, 8)",lumped,512,9,rcm,52,512,0.01220703125,39808,2816,131328,14.136363636363637
3D,"(8, 8, 8)",lumped,512,9,random,493,512,0.01220703125,123136,2816,131328,43.72727272727273
3D,"(8, 8, 8)",consistent,512,9,natural,64,29619,0.999969482421875,113522,2816,131328,1.0
3D,"(8, 8, 8)",consistent,512,9,rcm,52,19566,0.9999923706054688,131326,2816,131328,1.1568330367682036
3D,"(8, 8, 8)",consistent,512,9,random,493,43942,0.807525634765625,131328,2816,131328,1.1568506544986874
