damage_fraction,shots_per_pauli,localization_accuracy,denominator_clip_fraction,median_normalized_margin,p10_margin
0.02,100,0.3,0.049375,-0.6080522120047968,-6.245311208690097
0.02,1000,0.205,0.004375,-0.8437530603843952,-3.8830607280613547
0.02,10000,0.215,0.0,-0.5828067340094962,-4.041838298455702
0.02,100000,0.32,0.0,-0.3911043858854225,-1.9457792124633857
0.05,100,0.235,0.0675,-0.7309207638248365,-4.169766474174901
0.05,1000,0.195,0.001875,-0.7882752050272839,-4.292638352346257
0.05,10000,0.29,0.0,-0.3815301997536611,-2.3470587730201387
0.05,100000,0.51,0.0,0.026494505847892764,-0.751801678850192
0.1,100,0.26,0.061875,-0.8741985602692758,-5.064976758555762
0.1,1000,0.23,0.004375,-0.7089314650753522,-4.3865695595688114
0.1,10000,0.405,0.0,-0.08405941840034968,-1.220803035610644
0.1,100000,0.845,0.0,0.28331117470696837,-0.08856241498609882
0.2,100,0.215,0.059375,-0.7761428628213982,-9.148544121477359
0.2,1000,0.335,0.003125,-0.28044952299915193,-1.8274265289717402
0.2,10000,0.695,0.0,0.2081216784850487,-0.4511102543813023
0.2,100000,1.0,0.0,0.553199834980961,0.40150856072564683
