damage_fraction,shots_per_pauli,localization_accuracy,median_normalized_margin,p10_margin
0.02,100,0.24,-0.9586116290490634,-6.750489743952262
0.02,1000,0.25,-0.7439084162216629,-4.454606614981435
0.02,10000,0.185,-0.9931172072475117,-5.541564937112967
0.02,100000,0.2,-0.9655232063679723,-3.2844653530474988
0.05,100,0.27,-0.8265237063254701,-5.511566305551242
0.05,1000,0.195,-0.8219048597123648,-4.736143393537713
0.05,10000,0.23,-0.7442239960346153,-3.760626210119782
0.05,100000,0.24,-0.4661875864214631,-2.2494196271798756
0.1,100,0.195,-1.0395311934352338,-5.100615978451076
0.1,1000,0.23,-0.7738075923975494,-5.386143315131827
0.1,10000,0.205,-0.5201062443827627,-2.806009852267937
0.1,100000,0.25,-0.41254379598268187,-1.4569844179934246
0.2,100,0.21,-0.8045505777690257,-5.725685673151339
0.2,1000,0.185,-0.9009444167922278,-4.805362813875155
0.2,10000,0.225,-0.7209549712430986,-2.5251546574383337
0.2,100000,0.29,-0.28873443600023446,-0.9807530269942513
