mass_type,dof,qubits,pauli_K,density_K,qwc_K,pauli_M,density_M,qwc_M,pauli_A,density_A,qwc_A,pauli_KM,qwc_KM,ratio_KM_over_A
lumped,4,2,8,0.625,4.0,4,0.25,1.0,8,0.625,4.0,12,4.0,1.5
lumped,8,3,19,0.34375,8.0,8,0.125,1.0,20,0.34375,8.0,27,8.0,1.35
lumped,16,4,42,0.1796875,16.0,16,0.0625,1.0,48,0.1796875,16.0,58,16.0,1.2083333333333333
lumped,32,5,89,0.091796875,32.0,32,0.03125,1.0,112,0.091796875,32.0,121,32.0,1.0803571428571428
lumped,64,6,184,0.04638671875,64.0,64,0.015625,1.0,256,0.04638671875,64.0,248,64.0,0.96875
lumped,128,7,375,0.0233154296875,,128,0.0078125,,576,0.0233154296875,,503,,0.8732638888888888
consistent,4,2,8,0.625,4.0,8,0.625,4.0,10,1.0,5.0,16,4.0,1.6
consistent,8,3,19,0.34375,8.0,19,0.34375,8.0,36,1.0,14.0,38,8.0,1.0555555555555556
consistent,16,4,42,0.1796875,16.0,42,0.1796875,16.0,136,1.0,41.0,84,16.0,0.6176470588235294
consistent,32,5,89,0.091796875,32.0,89,0.091796875,32.0,459,0.892578125,101.0,178,32.0,0.3877995642701525
consistent,64,6,184,0.04638671875,64.0,184,0.04638671875,64.0,1241,0.55908203125,221.0,368,64.0,0.29653505237711525
consistent,128,7,375,0.0233154296875,,375,0.0233154296875,,2950,0.3077392578125,,750,,0.2542372881355932
