qubits,dof,initialization,gradient_variance,gradient_variance_ci_lo,gradient_variance_ci_hi,se_log_variance,mean_abs_gradient,energy_variance
2,4,uniform,0.026192599717446217,0.019705277831694127,0.0324356119563513,0.1268337700717968,0.1363153416529624,0.04941722024507936
2,4,near_identity,0.00040460894790883653,0.000291338260620406,0.0005160316154356077,0.14831080595272858,0.0681747463250532,0.0013109867227006113
3,8,uniform,0.010902794344781596,0.007361667530273454,0.014693951118950655,0.17833710079421833,0.08049416135154812,0.0215691768392496
3,8,near_identity,0.0008873276918969138,0.0006933765341554085,0.0010674847861258216,0.11164312751911645,0.059858787338607077,0.0009915572919112626
4,16,uniform,0.0045142843934114696,0.0033157924091295967,0.005685372793682304,0.13754075958574188,0.05443012600915679,0.014937471547838914
4,16,near_identity,0.00013585891590763246,9.531880518099791e-05,0.00017608831122090793,0.15564826823942327,0.009281294737437367,0.00046489174124806026
5,32,uniform,0.00346900763451809,0.0022650907828308314,0.0048623911139900255,0.19362650780909124,0.044766322321932506,0.006816801951111608
5,32,near_identity,3.259952682876493e-05,2.203138082182002e-05,4.430631524219765e-05,0.17706227935502467,0.004423027328231054,0.0003189469106773854
6,64,uniform,0.0022158586375113794,0.0015916854037160864,0.0028412265522690843,0.15305217904075968,0.03825216931148528,0.005199430092744904
6,64,near_identity,1.526416806299004e-05,1.0084075242193061e-05,2.1299819116497636e-05,0.19482067456480467,0.003008812537193807,0.00040056361082530423
7,128,uniform,0.0015855826908555864,0.0009837980309195236,0.0022021670613180844,0.20161890503586283,0.02894264781076978,0.007188472891362963
7,128,near_identity,3.1405818621990055e-05,2.270209937961991e-05,3.986303277433477e-05,0.14390289191216854,0.0044866484573079304,0.00030229199701234074
8,256,uniform,0.0020395588155006725,0.001195904949036301,0.0030518554931519113,0.24110134688506296,0.031845297703285994,0.004748243558164173
8,256,near_identity,2.2324921631681364e-05,1.3979695599230825e-05,3.135587584128668e-05,0.20928377256382524,0.0034566153251332473,0.00037001841450114864
9,512,uniform,0.0009816645466579435,0.000642155249046992,0.0013656035939587706,0.19386629611340994,0.023119699573410597,0.0035948511794144443
9,512,near_identity,1.9740202984217038e-05,1.3958750038571474e-05,2.5441973313516476e-05,0.1479736428905278,0.0036131627863429626,0.00040422731834283555
10,1024,uniform,0.0010467101598021255,0.0007102698123397463,0.0014216633499712823,0.1803961635931493,0.024346277295426003,0.0032254935483376906
10,1024,near_identity,8.75974015274945e-06,6.449818704179764e-06,1.1060479147023694e-05,0.13731765373377788,0.0024086294904271683,0.00028402660248400815
11,2048,uniform,0.0011199131131153723,0.0007596010671012889,0.0015032613313674227,0.17312766416571668,0.02485419475580595,0.0034539011006500114
11,2048,near_identity,2.215707456496623e-05,1.540754332564863e-05,2.9704320100166838e-05,0.17119113744051995,0.0038049729174458426,0.00039079701328613426
12,4096,uniform,0.000981969195681257,0.0006139334289657198,0.0014066712228218022,0.2112241266310064,0.023917960082063792,0.002323723174734052
12,4096,near_identity,1.5163260942050672e-05,1.0407538150708893e-05,2.018245735465043e-05,0.16672261387180162,0.0030100634859042217,0.00032339656340214004
