mass_type,dof,qubits,lambda_max,gershgorin_bound,gershgorin_ratio,nnz_A,density_A,pauli_terms,qwc_groups,cholesky_seconds,transform_seconds,pauli_seconds
lumped,4,2,36769.64013529859,40822.13781444916,1.110213144981536,10,0.625,8,4.0,3.037499845959246e-05,4.3249994632788e-05,0.0006950419920030981
lumped,8,3,39317.99570924625,42520.91581002198,1.0814619372884897,22,0.34375,20,8.0,1.1083990102633834e-05,2.4708002456463873e-05,0.0007542500097770244
lumped,16,4,41129.29138540534,43326.25271089841,1.0534159780412033,46,0.1796875,48,16.0,1.3834011042490602e-05,2.229200617875904e-05,0.0020947919983882457
lumped,32,5,42219.12193692624,43677.463507685374,1.034542205139601,94,0.091796875,112,32.0,1.4417004422284663e-05,3.920900053344667e-05,0.007143125010770746
lumped,64,6,42883.314110971434,43842.09097161,1.0223578070052488,190,0.04638671875,256,64.0,3.500000457279384e-05,6.695800402667373e-05,0.027904542002943344
lumped,128,7,43296.378063165386,43921.8592050384,1.0144465003737841,382,0.0233154296875,576,,6.129100802354515e-05,0.00016195799980778247,0.12031616699823644
consistent,4,2,100959.56954489894,111592.45687432235,1.1053182712382181,16,1.0,10,5.0,2.5500004994682968e-05,3.187499532941729e-05,0.0003930000093532726
consistent,8,3,112794.06803481212,120816.89726754586,1.0711281131402905,64,1.0,36,14.0,1.5124998753890395e-05,2.7250003768131137e-05,0.0007969169964781031
consistent,16,4,119298.96760613898,126226.57154355504,1.058069269805312,256,1.0,136,41.0,1.0707997716963291e-05,2.3250002413988113e-05,0.0022093750012572855
consistent,32,5,124128.11564444746,128896.78792113662,1.0384173420496332,914,0.892578125,459,101.0,1.1916999937966466e-05,3.5208999179303646e-05,0.008022624999284744
consistent,64,6,127087.90213608673,130294.49687915464,1.0252313138321716,2290,0.55908203125,1241,221.0,3.008400381077081e-05,5.787498957943171e-05,0.05401354200148489
consistent,128,7,128916.53996496035,131088.79589994074,1.0168500949185482,5042,0.3077392578125,2950,,6.304199632722884e-05,0.00015504199836868793,0.12846649999846704
