depth,seed,frequency_error_pct,iterations,variance
1,0,130.19951027229612,15,0.007008650573778138
1,1,130.19951027229612,20,0.007008650216411538
1,2,127.98565530756639,17,0.007066239033652927
1,3,130.19951027229638,16,0.007008650615752743
1,4,130.19951027229604,22,0.007008650386638452
1,5,130.19951027229615,20,0.0070086497086242795
1,6,130.19951027229612,16,0.007008650677407812
1,7,127.98565530756639,25,0.007066237959127573
1,8,127.9856553075667,22,0.007066237994604519
1,9,130.19951027238358,18,0.007008651006594606
1,10,130.19951027229615,20,0.0070086495791831785
1,11,127.9856553075669,22,0.007066240301211247
1,12,130.1995102722962,17,0.007008651062123158
1,13,130.19951027229607,15,0.007008650904447696
1,14,127.98565530756713,15,0.007066237192939296
1,15,130.19951027229624,15,0.0070086512046135365
1,16,127.9856553075667,19,0.007066239911141552
1,17,127.98565530756642,20,0.007066238002961052
1,18,130.19951027229686,19,0.00700864945985791
1,19,127.98565530756647,17,0.00706623813001098
2,0,1.6792433880156057e-12,25,5.500157621018964e-16
2,1,2.3200073123899815e-11,24,6.505646715782021e-15
2,2,7.070498475855182e-13,32,7.990570011218168e-17
2,3,4.571519170795116e-11,27,1.5081740110250985e-14
2,4,1.0384794636412299e-12,44,1.584019374001322e-16
2,5,3.11543839092369e-12,50,7.814387158189273e-16
2,6,5.104016087257959e-12,36,1.2171795689408516e-15
2,7,2.9033234366480343e-11,25,5.047665844332139e-15
2,8,4.949348933098628e-12,31,1.047664559272743e-15
2,9,5.96573308900281e-12,48,6.409803243734302e-16
2,10,3.97715539266854e-13,23,7.784571598445922e-17
2,11,3.535249237927591e-13,40,3.8868647883605334e-17
2,12,2.6470178668982837e-11,24,7.735457240032328e-15
2,13,3.3142961605571166e-13,50,4.006127027333939e-17
2,14,3.9064504079099884e-11,27,5.060730480510589e-15
2,15,6.34798191285373e-11,32,1.458219395927829e-14
2,16,1.4803856183821787e-12,23,4.898967516375752e-16
2,17,3.689916392086923e-12,29,5.147791914961175e-16
2,18,9.059076172189452e-13,36,1.3866945786089602e-16
2,19,1.3279279949965515e-11,27,2.8789362387093842e-15
