mass_type,dof,cholesky_seconds,transform_seconds,nnz_L,nnz_A
lumped,32,7.582944817841053e-06,2.675002906471491e-05,32,94
lumped,64,1.0834075510501862e-05,3.8207974284887314e-05,64,190
lumped,128,5.520798731595278e-05,0.00014887505676597357,128,382
lumped,256,0.0003022500313818455,0.0008307079551741481,256,766
lumped,512,0.001307375030592084,0.0028961659409105778,512,1534
consistent,32,8.499948307871819e-06,2.962502185255289e-05,63,914
consistent,64,2.3416941985487938e-05,6.025005131959915e-05,127,2290
consistent,128,5.3292023949325085e-05,0.00014929194003343582,255,5042
consistent,256,0.00027183396741747856,0.0006296249339357018,511,10546
consistent,512,0.0013878330355510116,0.0027548340149223804,1023,21554
