qubits,depth,parameters,gradient_variance,mean_abs_gradient,slope,ci_lo,ci_hi
2,2,6,0.03277028470774575,0.14298335246878774,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
2,4,10,0.03009682880166793,0.13953837007682168,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
2,8,18,0.028111713696220668,0.13991628163016276,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
3,2,9,0.011114502053189566,0.08175456218465507,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
3,4,15,0.011367880980950824,0.08409522032212217,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
3,8,27,0.015331063717575852,0.09482487756275153,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
4,2,12,0.005076103849944899,0.05293503378439455,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
4,4,20,0.00876177111639497,0.07065651839084051,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
4,8,36,0.009571795272754336,0.07650756434617123,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
5,2,15,0.003771252214184037,0.04158475887471421,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
5,4,25,0.0037924956357761404,0.04576059435653092,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
5,8,45,0.003123296131329533,0.04254967879124525,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
6,2,18,0.0029696032785432,0.03952316227530024,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
6,4,30,0.0014855772927788425,0.02842202150257648,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
6,8,54,0.0013024590628630255,0.028679108157287712,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
7,2,21,0.001370636475789453,0.0240167708353284,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
7,4,35,0.0004793972377529694,0.01647717586452484,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
7,8,63,0.0007751788490015046,0.022145996437383027,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
8,2,24,0.0015809960162871933,0.02468156359128985,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
8,4,40,0.0005332975462693345,0.01695707312757953,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
8,8,72,0.00046765016553926135,0.016875256551654474,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
9,2,27,0.0014576135283259502,0.02261931371475185,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
9,4,45,0.00027719768668315817,0.011954122321038409,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
9,8,81,0.00020604063826336946,0.010552785769675029,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
10,2,30,0.000627533171147831,0.013992509753130928,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
10,4,50,0.0003200776848309704,0.0124056326778785,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
10,8,90,7.682517761715342e-05,0.006841565120171422,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
